code,name,river,basin,state,district,division,lat,lon,rl_zero,warning_level,danger_level,hfl,hfl_date
005-HGDDDN,Rudraprayag (C),Alaknanda,Ganga,Uttarakhand,Rudraprayag,"Himalayan Ganga Division,Haridwar",30.275277777777777,78.965,607.0,623.7,624.7,628.2,2013-06-17
005-LBDJPG,Dhubri,Brahmaputra,Brahmaputra,Assam,DHUBRI,"Middle Brahmaputra Division (MBD), Guwahati",25.990991666666662,90.03248888888889,0.0,27.62,28.62,30.37,2019-07-17
005-LGD3BEH,LABHA,Fulhar,Ganga,Bihar,KATIHAR,"Lower Ganga Division III(LGD-III), Berhampore",25.43055555555556,87.76833333333333,20.73,27.1,28.0,30.79,2017-08-15
005-LKDHYD,Deongaon Bridge,Bhima,Krishna,Karnataka,Kalaburagi,"Lower Krishna Division(LKD), Hyderabad",17.17,76.33,394.0,402.0,404.5,409.0,2020-10-18
005-LYDAGRA,AURAIYA,Yamuna,Ganga,Uttar Pradesh,AURAIYA,"Lower Yamuna Division(LYD), Agra",26.42805555555556,79.47888888888889,91.0,112.0,113.0,118.51,2021-08-06
005-MAHGAND,Mahi Bajaj Sagar Dam,Mahi,Mahi,Rajasthan,BANSWARA,"Executive Engineer, Mahi Divison, Gandhinagar",23.628611111111116,74.54722222222222,268.5,,,,
005-MBDGHY,DRF,Puthimari,Brahmaputra,Assam,Baksa,"Middle Brahmaputra Division (MBD), Guwahati",26.77500833333333,91.69288611111112,0.0,,,144.98,2023-06-20
005-MDBURLA,Korba,Hasdeo,Mahanadi,Chhattisgarh,KORBA,"Mahanadi Division(MD), Burla",22.39333333333333,82.70277777777778,272.0,,,279.02,1987-09-15
005-MGD1LkN,Banbasa,Sarda,Ganga,Uttarakhand,Champawat,"Middle Ganga Division-I(MGD-I), Lucknow",28.995833333333334,80.10555555555555,217.0,222.3,223.3,223.3,2013-06-18
005-MGD5PTN,Munger,Ganga,Ganga,Bihar,MUNGER,"Lower Ganga Division-II(LGD-II), Patna",25.37777777777778,86.4625,26.5,38.33,39.33,40.99,1976-09-19
005-NDBHP,Pati,Goi,Narmada,Madhya Pradesh,BARWANI,"Narmada Division(ND), Bhopal",21.943305555555558,74.74469444444445,187.0,,,207.1,2006-08-07
005-SHDSIM,PANDOA,Satluj,Indus,Himachal Pradesh,SHIMLA,"Snow Hydrology Division(SHD), Shimla",31.26730555555556,77.288,672.0,,,689.6,2010-08-07
005-SIDGTK,Toyum,Kalez Khola,Brahmaputra,Sikkim,GYALSINGH,"Sikkim Investigation Division, Gangtok",27.27027777777778,88.26027777777777,580.0,,,653.45,2023-06-18
